,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'myristica fragrans'}),frozenset({'glycyrrhiza glabra'}),0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
1,frozenset({'glycyrrhiza glabra'}),frozenset({'myristica fragrans'}),0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
2,"frozenset({'myristica fragrans', 'trikatu'})",frozenset({'glycyrrhiza glabra'}),0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
3,"frozenset({'glycyrrhiza glabra', 'trikatu'})",frozenset({'myristica fragrans'}),0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
4,frozenset({'myristica fragrans'}),"frozenset({'glycyrrhiza glabra', 'trikatu'})",0.12,0.16,0.12,1.0,6.25,0.1008,inf,0.9545454545454546
5,frozenset({'glycyrrhiza glabra'}),"frozenset({'myristica fragrans', 'trikatu'})",0.16,0.12,0.12,0.75,6.25,0.1008,3.52,1.0000000000000002
6,"frozenset({'costus speciosus', 'trikatu'})",frozenset({'plectranthus vettiveroides'}),0.2,0.12,0.12,0.6,5.0,0.096,2.1999999999999997,1.0
7,frozenset({'plectranthus vettiveroides'}),"frozenset({'costus speciosus', 'trikatu'})",0.12,0.2,0.12,1.0,5.0,0.096,inf,0.9090909090909091
8,"frozenset({'terminalia bellirica', 'costus speciosus'})","frozenset({'triphala', 'trikatu'})",0.12,0.2,0.12,1.0,5.0,0.096,inf,0.9090909090909091
9,"frozenset({'triphala', 'trikatu'})","frozenset({'terminalia bellirica', 'costus speciosus'})",0.2,0.12,0.12,0.6,5.0,0.096,2.1999999999999997,1.0
