,support,itemsets
57,0.23809523809523808,"frozenset({'triphala', 'terminalia bellirica', 'trikatu'})"
24,0.19047619047619047,"frozenset({'carum copticum', 'triphala', 'trikatu'})"
32,0.19047619047619047,"frozenset({'triphala', 'alpinia galanga', 'trikatu'})"
18,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'trikatu'})"
27,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum', 'trikatu'})"
33,0.14285714285714285,"frozenset({'saccharum officinarum', 'alpinia galanga', 'trikatu'})"
34,0.14285714285714285,"frozenset({'triphala', 'saccharum officinarum', 'alpinia galanga'})"
36,0.14285714285714285,"frozenset({'solanum trilobatum', 'alpinia galanga', 'trikatu'})"
37,0.14285714285714285,"frozenset({'triphala', 'solanum trilobatum', 'alpinia galanga'})"
43,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'alpinia galanga'})"
44,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'alpinia galanga'})"
45,0.14285714285714285,"frozenset({'solanum surattense', 'alpinia galanga', 'trikatu'})"
46,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'solanum trilobatum'})"
47,0.14285714285714285,"frozenset({'solanum surattense', 'solanum trilobatum', 'trikatu'})"
48,0.14285714285714285,"frozenset({'triphala', 'solanum surattense', 'trikatu'})"
60,0.14285714285714285,"frozenset({'terminalia bellirica', 'croton tiglium', 'trikatu'})"
